Price,Title,URL,Author
"$ 118 75 ",Industrial Process Automation Systems: Design and Implementation,https://www.amazon.com/Industrial-Process-Automation-Systems-Implementation/dp/0128102659/ref=sr_1_90?s=books&ie=UTF8&qid=1539787739&sr=1-90&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by B.R. Mehta and Y. Jaganmohan Reddy
"$ 12 99 ",,,
"$ 32 99 ",Python Unit Test Automation: Practical Techniques for Python Developers and Testers,https://www.amazon.com/Python-Unit-Test-Automation-Techniques/dp/1484226763/ref=sr_1_92?s=books&ie=UTF8&qid=1539787739&sr=1-92&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Ashwin Pajankar
"$ 24 99 ",Microsoft Hyper-V PowerShell Automation,https://www.amazon.com/Microsoft-Hyper-V-PowerShell-Automation-Vinith/dp/1784391530/ref=sr_1_93?s=books&ie=UTF8&qid=1539787739&sr=1-93&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Vinith Menon
"$ 23 01 ",Pinto's Points: How to Win in the Automation Business,https://www.amazon.com/Pintos-Points-How-Automation-Business/dp/1556179537/ref=sr_1_94?s=books&ie=UTF8&qid=1539787739&sr=1-94&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Jim Pinto
"$ 74 99 ",BMC Control-M 7: A Journey from Traditional Batch Scheduling to Workload Automation,https://www.amazon.com/BMC-Control-M-Traditional-Scheduling-Automation/dp/1849682569/ref=sr_1_95?s=books&ie=UTF8&qid=1539787739&sr=1-95&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Qiang Ding
"$ 34 65 ","Library Automation: Core Concepts and Practical Systems Analysis, 3rd Edition",https://www.amazon.com/Library-Automation-Concepts-Practical-Analysis/dp/1591589223/ref=sr_1_96?s=books&ie=UTF8&qid=1539787739&sr=1-96&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Dania Bilal
"$ 23 99 ",,,
,Automation Production Systems and Comput,https://www.amazon.com/Automation-Production-Systems-Comput-Groover/dp/9332549818/ref=sr_1_99?s=books&ie=UTF8&qid=1539787743&sr=1-99&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Groover
"$ 208 99 ","Automation, Communication and Cybernetics in Science and Engineering 2015/2016",https://www.amazon.com/Automation-Communication-Cybernetics-Science-Engineering/dp/3319826204/ref=sr_1_100?s=books&ie=UTF8&qid=1539787743&sr=1-100&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Sabina Jeschke and Ingrid Isenhardt
"$ 13 97 ",,,
,"""Software Automation Testing Secrets Revealed""",https://www.amazon.com/Software-Automation-Testing-Secrets-Revealed/dp/9383952954/ref=sr_1_101?s=books&ie=UTF8&qid=1539787743&sr=1-101&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Narayanan Palani
"$ 9 99 ",How to Cheaply Monitor and Automate Your Aquaponic/Hydroponic Garden with Arduin,https://www.amazon.com/Cheaply-Monitor-Automate-Aquaponic-Hydroponic/dp/1975948424/ref=sr_1_102?s=books&ie=UTF8&qid=1539787743&sr=1-102&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Mr. David C Leithauser
"$ 8 99 ",,,
"$ 14 99 ",Home Attitude: Everything You Need To Know To Make Your Home Smart,https://www.amazon.com/Home-Attitude-Everything-Need-Smart/dp/1542710197/ref=sr_1_104?s=books&ie=UTF8&qid=1539787743&sr=1-104&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by John R. Patrick
"$ 55 62 ","Automation Network Selection: A References Manual, 2nd Edition",https://www.amazon.com/Automation-Network-Selection-References-Manual/dp/1934394890/ref=sr_1_105?s=books&ie=UTF8&qid=1539787743&sr=1-105&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Dick Caro
"$ 28 98 ",Customizing Chef: Getting the Most Out of Your Infrastructure Automation,https://www.amazon.com/Customizing-Chef-Getting-Infrastructure-Automation/dp/149194935X/ref=sr_1_106?s=books&ie=UTF8&qid=1539787743&sr=1-106&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Jon Cowie
"$ 49 99 ",Smart Home Automation with Linux and Raspberry Pi,https://www.amazon.com/Smart-Home-Automation-Linux-Raspberry/dp/143025887X/ref=sr_1_107?s=books&ie=UTF8&qid=1539787743&sr=1-107&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Steven Goodwin
"$ 43 89 ",Forces of Production: A Social History of Industrial Automation,https://www.amazon.com/Forces-Production-History-Industrial-Automation/dp/1412818281/ref=sr_1_108?s=books&ie=UTF8&qid=1539787743&sr=1-108&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by David F. Noble
"$ 18 95 ",,,
"$ 56 99 ",,,
"$ 99 00 ",,,
"$ 89 00 ",Rpa Robotic Process Automation Second Edition,https://www.amazon.com/Rpa-Robotic-Process-Automation-Second/dp/065542976X/ref=sr_1_113?s=books&ie=UTF8&qid=1539787747&sr=1-113&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Gerardus Blokdyk
"$ 20 00 ",,,
,Home Automation For Dummies,https://www.amazon.com/Home-Automation-Dummies-Dwight-Spivey/dp/1118949269/ref=sr_1_114?s=books&ie=UTF8&qid=1539787747&sr=1-114&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Dwight Spivey
